epoch,train_loss,validation_metric,best_epoch,best_metric,learning_rate,epochs_without_improvement,epoch_seconds
1,0.8751825612649782,0.49905658662740254,1,0.49905658662740254,0.001,0,90.97968935966492
2,0.8514017307239672,0.49985565188976006,2,0.49985565188976006,0.001,0,89.77835202217102
3,0.8317850679259595,0.4997375700060781,2,0.49985565188976006,0.001,1,90.28535628318787
4,0.8181549952024607,0.4995330738946435,2,0.49985565188976006,0.001,2,94.91067123413086
5,0.8085067020120891,0.49936974453301125,2,0.49985565188976006,0.001,3,94.8294951915741
6,0.8009022445259258,0.4995990056132948,2,0.49985565188976006,0.001,4,95.33385896682739
7,0.7942080341203155,0.49922851449889355,2,0.49985565188976006,0.001,5,95.00918841362
8,0.7876132238418981,0.4991977097632736,2,0.49985565188976006,0.0005,6,95.77527093887329
9,0.781224224123113,0.4990970259860763,2,0.49985565188976006,0.0005,7,91.48233938217163
10,0.7768395292343747,0.4987475396748053,2,0.49985565188976006,0.0005,8,89.50769782066345
11,0.7729794709587577,0.4986561175169969,2,0.49985565188976006,0.0005,9,89.84008145332336
12,0.7691940079626709,0.4984682698430629,2,0.49985565188976006,0.0005,10,90.66065549850464
